127.0.0.1 - - [15/Feb/2021:14:17:31 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/cervejas/novo/ HTTP/1.1" 200 9149
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/layout/stylesheets/application.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/layout/stylesheets/algaworks.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/layout/stylesheets/vendors.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/layout/javascripts/algaworks.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/layout/javascripts/vendors.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:17:38 -0300] "GET /brewer/images/favicon.png HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:24:02 -0300] "GET /brewer/cervejas/novo/ HTTP/1.1" 200 9149
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:24:02 -0300] "GET /brewer/images/favicon.png HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:24:11 -0300] "POST /brewer/cervejas/novo/ HTTP/1.1" 200 9617
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:32:34 -0300] "POST /brewer/cervejas/novo/ HTTP/1.1" 200 9617
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:32:40 -0300] "GET /brewer/images/favicon.png HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:32:44 -0300] "POST /brewer/cervejas/novo/ HTTP/1.1" 200 9617
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:32:44 -0300] "GET /brewer/images/favicon.png HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:32:49 -0300] "GET /brewer/cervejas/novo/ HTTP/1.1" 200 9149
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:32:54 -0300] "POST /brewer/cervejas/novo/ HTTP/1.1" 200 9620
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:33:04 -0300] "POST /brewer/cervejas/novo/ HTTP/1.1" 200 9527
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:33:31 -0300] "POST /brewer/cervejas/novo/ HTTP/1.1" 200 9600
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:33:46 -0300] "GET /brewer/cervejas/novo/ HTTP/1.1" 200 9149
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:43:37 -0300] "GET /brewer/cervejas/novo/ HTTP/1.1" 200 9149
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:50:54 -0300] "GET /brewer/cervejas/novo/ HTTP/1.1" 200 9149
0:0:0:0:0:0:0:1 - - [15/Feb/2021:14:51:03 -0300] "POST /brewer/cervejas/novo/ HTTP/1.1" 200 9847
