127.0.0.1 - - [03/Mar/2021:13:49:37 -0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:47 -0300] "GET /brewer/cervejas/novo HTTP/1.1" 200 9544
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:49 -0300] "GET /brewer/stylesheets/brewer.css HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:49 -0300] "GET /brewer/layout/stylesheets/application.css HTTP/1.1" 200 1091
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:49 -0300] "GET /brewer/layout/stylesheets/algaworks.min.css HTTP/1.1" 200 8699
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:49 -0300] "GET /brewer/layout/stylesheets/vendors.min.css HTTP/1.1" 200 167935
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:50 -0300] "GET /brewer/images/logo.png HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:50 -0300] "GET /brewer/javascripts/vendors/jquery.maskMoney.min.js HTTP/1.1" 200 7029
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:50 -0300] "GET /brewer/javascripts/brewer.js HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:50 -0300] "GET /brewer/javascripts/estilo.cadastro-rapido.js HTTP/1.1" 200 1926
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:50 -0300] "GET /brewer/layout/javascripts/algaworks.min.js HTTP/1.1" 200 1433
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:50 -0300] "GET /brewer/layout/javascripts/vendors.min.js HTTP/1.1" 200 145096
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:50 -0300] "GET /brewer/layout/vendors/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:50 -0300] "GET /brewer/layout/vendors/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.1 HTTP/1.1" 200 70728
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:53 -0300] "GET /brewer/cervejas/novo HTTP/1.1" 200 9544
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:49:56 -0300] "POST /brewer/cervejas/novo HTTP/1.1" 200 10795
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:52:51 -0300] "GET /brewer/cervejas/novo HTTP/1.1" 200 9544
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:53:03 -0300] "POST /brewer/cervejas/novo HTTP/1.1" 200 10795
0:0:0:0:0:0:0:1 - - [03/Mar/2021:13:53:26 -0300] "GET /brewer/cervejas/novo HTTP/1.1" 200 9544
